A280;PUENTE DE ANGEL CUSTODIO
A281;PUENTE DE ASTILLEROS
A283;JUAN VERDEGUER
A284;CLARIANO
A285;PESET ALEIXANDRE
A286;PESET ALEIXANDRE
A287;ACCESO BARCELONA (PASO INFERIOR)
A288;SAGUNTO
A289;AVDA. CONSTITUCION
A29;AUSIAS MARCH
A290;SAN JOSE DE CALASANZ
A291;PINTOR BENEDITO
A292;PEDRO ALEIXANDRE
A293;DR. MANUEL CANDELA
A294;JOAQUÍN BALLESTER
A295;CLARIANO (SIN PASO INFERIOR)
A296;ACCESO BARCELONA RAMAL DE ENTRADA
A297;ACCESO  BARCELONA (RAMAL DE SALIDA DE ROTONDA A V-21)
A298;ACCESO DE BURJASSOT (ENTRADA)
A299;CAMP DEL TURIA
A3;AV. CATALUNA
A30;AUTOPISTA DEL SALER
A301;POETA QUEROL
A302;AV. MARIA CRISTINA
A303;JESUS
A304;NUEVA ALAMEDA
A305;IBIZA
A306;ACCESO BARCELONA
A307;ACCESO BARCELONA (SALIDA)
A308;CORTES VALENCIANAS (de Camp del Túria a La Safor )
A309;CORTES VALENCIANAS (de Camp del Túria a La Safor )
A31;AUTOPISTA LATERALES DEL SALER
A310;AUSIAS MARCH ( ENTRADA)
A311;AUSIAS MARCH (SALIDA)
A312;AUTOPISTA DEL SALER
A313;AUTOPISTA DEL SALER
A314;AV. CID
A315;AV. CID
A316;CAMINO NUEVO DE PICANYA
A317;CAMINO NUEVO DE PICANYA
A318;AV. BURJASSOT
A319;CONSTITUCION
A32;AUTOPISTA DEL SALER
A320;CONSTITUCION
A321;MARQUES DEL TURIA
A322;MARQUES DEL TURIA
A323;PERIS Y VALERO
A324;PERIS Y VALERO
A325;BLASCO IBANEZ
A326;BLASCO IBANEZ
A329;TRES FORQUES
A33;AV. DE ARAGON
A330;TRES FORQUES
A331;AUSIAS MARCH
A333;DOCTOR MANUEL CANDELA
A334;DOCTOR MANUEL CANDELA
A335;DOCTOR MANUEL CANDELA
A336;DOCTOR MANUEL CANDELA
A337;FONTANARES
A34;AV. DE ARAGON
A342;FERNANDO EL CATOLICO
A343;FERNANDO EL CATOLICO
A344;CONSTITUCION
A345;PUENTE EXPOSICION
A347;CASTAN TOBENAS
A348;QUART
A349;MAESTRO GUERRERO
A35;AV. BURJASSOT
A350;AYORA
A351;MEDITERRANEO
A352;P.I.
A353;SAN VICENTE - PERIODISTA AZZATI
A354;QUART
A355;MENENDEZ PIDAL
A356;P.I. AUTOPISTA DEL SALER
A357;AUTOPISTA DEL SALER (PASO INFERIOR Y LATERAL)
A358;AUTOPISTA DEL SALER
A359;JOSE MARIA HARO
A36;AV. BURJASSOT
A360;AV. DE LOS NARANJOS
A361;TRES FORQUES
A362;GENERAL AVILES
A363;GENERAL AVILES
A364;PIO BAROJA - GRAL. AVILES
A365;MAESTRO RODRIGO
A366;JUAN XXIII
A367;JUAN XXIII
A368;AV. DE FRANCIA
A369;PASEO DE LA ALAMEDA - AVENIDA DE FRANCIA
A37;AV. BURJASSOT
A370;PASEO DE LA ALAMEDA
A371;P.E. BULEVAR SUR
A372;BULEVAR SUR
A373;ACCESO POR V-31 (PISTA DE SILLA)
A374;BULEVAR SUR
A375;BULEVAR SUR
A376;RONDA NORTE
A377;MAESTRO RODRIGO
A378;LA SAFOR
A379;PL. TETUAN
A38;AV. BURJASSOT
A382;PIO BAROJA
A383;ALFAHUIR
A384;TOMAS DE MONTANANA
A385;CAMPOS CRESPO
A386;SUECA
A387;TRES CRUCES
A388;ALFAHUIR
A389;EMILIO BARO
A39;AV. BURJASSOT
A390;RONDA NORTE
