A99; EDUARDO BOSCA
B10; BARÓN DE SAN PETRILLO
B11; BENICADELL
B100; SERPIS
B103; TAMARINDOS
B109; VIRGEN DE LA CABEZA
B110; VIRGEN DEL SUFRAGIO
B12; BILBAO
A102; ERNESTO FERRER
B31; DELS PORTS
B38; ESCULTOL ALFONSO GABINO
B34; DUQUE DE CALABRIA
B37; ERUDITO ORELLANA
B40; EXPLORADOR ANDRÉS
B42; FINLANDIA
B45; FRAY PEDRO VIVES
B49; GRABADOR ENGUIDANOS
A104; EUGENIA VIÑES
A110; GASPAR AGUILAR
A118; GERMANÍAS
A12; ALAMEDA, PROLONGACION
A123; GUADALAVIAR
A124; GUILLEM DE CASTRO
A127; GUILLEM DE CASTRO
A13; ALBORAIA
A144; LLANO DE ZAIDIA
A167; NICASIO BENLLOCH
A169; NICASIO BENLLOCH
B97; SAGASTA
A106; FONTANARES
A107; FRANCIA, AVDA.
A109; GASPAR AGUILAR
A116; GIORGETA
A137; JAIME BELTRAN
A143; LINARES
A145; LORCA
A148; MALILLA, CARRERA
A149; MALILLA, CARRERA
A155; MATIAS PERELLO
A163; MESTRE RACIONAL
B95; RODRÍGUEZ DE CEPEDA
A164; MICER MASCO
A226; SAN VICENTE
A235; SERRERIA Entre Santos Justo y Pastor y Blasco Ibáñez
A237; SUECIA, AVENIDA
A241; TOMAS DE MONTAÑANA
A258; HNOS. MARISTAS (INSTITUTO OBRE
A271; PUENTE DE LAS VIEJAS GLORIAS
A278; PUENTE DE ARAGÓN
A279; PUENTE DEL REINO
A28; AUSIAS MARCH
A291; PINTOR BENEDITO
A299; CAMP DEL TURIA
A261; AV. BALEARES
A264; GIBRALTAR
A267; PUENTE NUEVE DE OCTUBRE
A27; AUSIAS MARCH
A270; PUENTE DE CAMPANAR
A272; PUENTE DE LAS ARTES
A276; PUENTE DEL REAL
A277; PUENTE DE LAS FLORES
A290; SAN JOSÉ DE CALASANZ
A399; HNOS MACHADO(CONST-ALFAHUIR)
A413; MENORCA Entre Av. Francia y Av. Baleares
A415; SANTOS JUSTO Y PASTOR Entre Jose Mª Haro y Serrería
A46; BLANQUERIAS
A49; BLASCO IBAÑEZ
A52; BLASCO IBAÑEZ
A56; C.MONCADA, P.ALEIX. A H.MACHA.
A58; CAMINO NUEVO DE PICANYA
A61; CAMPANAR, AVENIDA
A65; CARDENAL BENLLOCH
A69; CID, AVENIDA
A70; CID, AVENIDA
A71; CID, AVENIDA
A74; CLARIANO
A165; NARANJOS, AVENIDA DE LOS
